round_id,symbol,direction,open_time,close_time,open_price,close_price,max_position,open_trades_count,close_trades_count,pnl_xbt,holding_duration,is_closed,pnl_from_wallet
426,ETHUSD,Short,2023-10-20 08:41:02.332000+00:00,2023-10-20 22:11:36.828000+00:00,1617.452795031056,1610.437525879917,-966,6,17,,0 days 13:30:34.496000,True,0.763076
427,ETHUSD,Short,2024-01-14 19:19:47.442000+00:00,2024-01-23 16:34:38.453000+00:00,2533.034763948498,2415.965522174535,-1398,32,25,,8 days 21:14:51.011000,True,18.653666
428,ETHUSD,Short,2024-01-28 11:55:35.380000+00:00,2024-02-19 06:04:42.107000+00:00,2559.6564831261103,2908.12190053286,-2815,74,55,,21 days 18:09:06.727000,True,19.925438
429,ETHUSD,Short,2024-02-19 08:17:26.212000+00:00,2024-02-26 19:44:55.050000+00:00,2920.0568214285713,3148.029392857143,-1200,47,44,,7 days 11:27:28.838000,True,-98.75262699999999
430,ETHUSDZ20,Long,2020-10-12 13:39:21.644000+00:00,2020-10-12 16:32:24.038000+00:00,428.4,433.4271827182718,1111,5,3,,0 days 02:53:02.394000,True,0.0
431,ETHZ20,Long,2020-10-28 11:17:12.414000+00:00,2020-11-05 12:35:06.395000+00:00,0.028442134540750327,0.028383350582147474,1046,156,92,,8 days 01:17:53.981000,True,-7.921805999999998
432,ETHZ20,Long,2020-11-05 14:15:49.302000+00:00,2020-11-05 23:15:14.396000+00:00,0.027435589225589224,0.02635,297,25,1,,0 days 08:59:25.094000,True,0.0
433,ETHZ20,Long,2020-11-06 01:05:51.176000+00:00,2020-11-07 19:22:29.847000+00:00,0.027208846153846153,0.028940048076923075,208,15,14,,1 days 18:16:38.671000,True,-28.821130999999998
434,ETHZ20,Long,2020-11-09 05:45:49.587000+00:00,2020-11-11 09:34:50.590000+00:00,0.029220915032679737,0.02980849673202614,153,36,13,,2 days 03:49:01.003000,True,-0.020026999999999996
435,ETHZ20,Long,2020-11-12 00:10:50.642000+00:00,2020-11-13 17:45:04.256000+00:00,0.02858049180327869,0.02911737704918033,305,17,7,,1 days 17:34:13.614000,True,-0.098328
436,ETHZ20,Long,2020-11-13 21:23:33.501000+00:00,2020-11-22 04:33:55.601000+00:00,0.02768376699029126,0.0278942427184466,964,59,248,,8 days 07:10:22.100000,True,-1.3173929999999991
437,ETHZ20,Long,2020-11-26 04:13:21.909000+00:00,2020-11-27 07:53:14.426000+00:00,0.02958022919179735,0.029792919179734617,697,73,33,,1 days 03:39:52.517000,True,-8.387018
438,ETHZ20,Long,2020-11-28 14:26:21.008000+00:00,2020-11-30 04:39:37.583000+00:00,0.03033431818181818,0.03156,132,8,3,,1 days 14:13:16.575000,True,-0.200847
439,ETHZ20,Long,2020-11-30 08:09:01.139000+00:00,,0.029631923494302766,0.03033729622980251,1033,218,149,,2056 days 14:02:14.418000,False,-143.326779
440,ETHZ21,Long,2021-10-05 21:55:06.009000+00:00,2021-12-04 05:27:47.951000+00:00,0.06698711862023243,0.07043108143401003,40711000000,293,337,,59 days 07:32:41.942000,True,302.796164
441,ETHZ21,Long,2021-12-04 08:29:06.948000+00:00,2021-12-10 17:38:33.157000+00:00,0.08316027757575757,0.08493635151515151,16500000000,23,87,,6 days 09:09:26.209000,True,71.03725
442,ETHZ21,Long,2021-12-11 00:12:57.823000+00:00,,0.08184446921675774,0.0824525,25450000000,120,9,,1680 days 21:58:17.734000,False,-79.35886699999999
443,ETHZ22,Long,2022-10-22 22:00:42.461000+00:00,2022-11-12 03:20:36.316000+00:00,0.06938575789473685,0.07482473157894737,4100000,29,35,,20 days 05:19:53.855000,True,11.926381999999998
444,ETHZ22,Long,2022-11-13 09:14:06.215000+00:00,2022-11-16 07:57:46.861000+00:00,0.0733,0.0738,200000,1,2,,2 days 22:43:40.646000,True,0.001466
445,ETHZ22,Long,2022-11-20 11:32:20.647000+00:00,2022-12-21 16:19:51.536000+00:00,0.07040454545454546,0.07342,800000,15,100,,31 days 04:47:30.889000,True,2.677864
446,ETHZ23,Short,2023-09-29 20:51:15.892000+00:00,2023-10-16 13:26:49.122000+00:00,0.059075869999999996,0.058531845,-2980000,90,31,,16 days 16:35:33.230000,True,2.9279819999999988
447,ETHZ23,Long,2023-10-16 13:29:39.763000+00:00,2023-10-16 15:20:58.305000+00:00,0.055235,0.05610002496878902,800000,2,6,,0 days 01:51:18.542000,True,0.0
448,ETHZ23,Short,2023-10-16 15:20:58.305000+00:00,2023-11-03 23:12:26.981000+00:00,0.0549933748960931,0.05212469848156182,-4534000,54,27,,18 days 07:51:28.676000,True,14.086837
449,ETHZ23,Long,2023-11-03 23:12:26.981000+00:00,2023-11-09 21:43:29.324000+00:00,0.052860000000000004,0.0555,298000,2,2,,5 days 22:31:02.343000,True,-0.370063
450,ETHZ23,Short,2023-11-09 21:43:29.324000+00:00,,0.056617593436645394,0.05363777777777778,-1902000,38,21,,982 days 00:27:46.233000,False,6.143716
451,ETHZ24,Long,2024-10-14 15:26:28.211000+00:00,,0.03680937777777778,0.03970607703281027,4699000,69,10,1.708392,642 days 06:44:47.346000,False,-5.215481
452,LINKUSDT,Long,2021-02-02 07:30:06.999000+00:00,2021-02-02 16:21:28.509000+00:00,23.607,22.854,999,44,1,,0 days 08:51:21.510000,True,-0.004159
453,LINKUSDT,Long,2021-02-03 14:46:28.700000+00:00,2021-02-05 15:00:18.586000+00:00,25.466477496785256,25.67531675953708,2333,9,20,,2 days 00:13:49.886000,True,-8.093676
454,LINKUSDT,Long,2021-02-13 20:38:21.719000+00:00,2021-02-14 10:23:17.224000+00:00,31.536,34.50502927927928,444,2,12,,0 days 13:44:55.505000,True,0.0
